0x1332	0x1616
0x161a	0x16b0
0x195a	0x1964
0x1aef	0x1af9
0x20c9	0x215f
0x2e2c	0x3146
0x3434	0x38bb
0x38c2	0x3929
0x392c	0x3f3f
0x3f47	0x3f66
0x3f6f	0x3fa5
0x40bf	0x4277
0x4385	0x440d
0x4412	0x4412
0x441a	0x46ab
0x46b0	0x46f2
0x46fa	0x471b
0x4726	0x4768
0x4770	0x4798
0x4975	0x4e56
0x5182	0x5290
0x5295	0x5300
0x5309	0x5421
0x542a	0x5449
0x5452	0x5473
0x547b	0x5492
0x549a	0x54be
0x54c5	0x5a0a
0x5a12	0x5a58
0x5a5d	0x5f9e
0x5fa5	0x5fe7
0x5fef	0x6031
0x60f3	0x61a6
0x61b2	0x6c06
0x6c0f	0x7009
0x704e	0x712c
0x71f3	0x71f3
0x7206	0x7282
0x73ba	0x73dc
0x161a	0x7526
0x161a	0x754d
0x20c9	0x7574
0x20c9	0x759b
0x3434	0x75c2
0x3434	0x75e8
0x392c	0x760e
0x392c	0x7635
0x40bf	0x765c
0x40bf	0x7680
0x40bf	0x76a4
0x40bf	0x76c8
0x441a	0x76ec
0x441a	0x7710
0x4975	0x7734
0x4975	0x775b
0x5182	0x7782
0x5182	0x77a6
0x5182	0x77ca
0x54c5	0x77ee
0x54c5	0x7815
0x5a5d	0x783c
0x5a5d	0x7862
0x5a5d	0x7888
0x61b2	0x78ae
0x61b2	0x78d6
0x61b2	0x78fe
0x61b2	0x7926
0x61b2	0x794e
0x61b2	0x7976
0x61b2	0x799e
0x6c0f	0x79c6
0x6c0f	0x79eb
0x6c0f	0x7a10
0x1221	0x13130x1221
0x17af	0x17fc0x17af
0x1afe	0x1d6a0x1afe
0x1d75	0x1dc20x1d75
0x1f40	0x20650x1f40
0x2167	0x21720x2167
0x2470	0x27030x2470
0x2b5e	0x2c8b0x2b5e
0x33c0	0x342c0x33c0
0x3fad	0x40a00x3fad
0x427c	0x43660x427c
0x47a2	0x49530x47a2
0x4e5e	0x4f460x4e5e
0x4f65	0x504f0x4f65
0x506e	0x51610x506e
