0x307	0	0x307_0x0
0x310	0	0x310_0x0
0x34f	1	0x34f_0x1
0x6ba	0	0x6ba_0x0
0x795	0	0x795_0x0
0x971	0	0x971_0x0
0x97a	0	0x97a_0x0
0x9b9	1	0x9b9_0x1
0xe18	0	0xe18_0x0
0x10b4	0	0x10b4_0x0
0x11dc	0	0x11dc_0x0
0x138d	0	0x138d_0x0
0x1397	0	0x1397_0x0
0x13a2	0	0x13a2_0x0
0x13a2	2	0x13a2_0x2
0x13b9	0	0x13b9_0x0
0x13b9	3	0x13b9_0x3
0x13f5	0	0x13f5_0x0
0x1409	3	0x1409_0x3
0x1485	2	0x1485_0x2
0x14d4	2	0x14d4_0x2
0x14ea	3	0x14ea_0x3
0x15bc	0	0x15bc_0x0
0x15c5	0	0x15c5_0x0
0x1604	1	0x1604_0x1
0x1693	0	0x1693_0x0
0x1693	1	0x1693_0x1
0x2142	0	0x2142_0x0
0x2142	1	0x2142_0x1
0x2233	0	0x2233_0x0
0x2eb7	0	0x2eb7_0x0
0x3146	0	0x3146_0x0
0x3929	0	0x3929_0x0
0x3bc3	0	0x3bc3_0x0
0x3c69	4	0x3c69_0x4
0x440d	0	0x440d_0x0
0x54be	0	0x54be_0x0
0x54be	1	0x54be_0x1
0x5a6d	0	0x5a6d_0x0
0x6090	0	0x6090_0x0
0x6099	0	0x6099_0x0
0x60d8	1	0x60d8_0x1
0x6150	0	0x6150_0x0
0x6159	0	0x6159_0x0
0x6198	1	0x6198_0x1
0x6939	1	0x6939_0x1
0x705e	0	0x705e_0x0
0x70d0	0	0x70d0_0x0
0x70d9	0	0x70d9_0x0
0x7118	1	0x7118_0x1
0x712c	0	0x712c_0x0
0x7189	0	0x7189_0x0
0x7192	0	0x7192_0x0
0x71d1	1	0x71d1_0x1
0x7259	2	0x7259_0x2
0x7262	1	0x7262_0x1
0x7262	2	0x7262_0x2
0x7275	1	0x7275_0x1
0x73c0	0	0x73c0_0x0
0x73c9	0	0x73c9_0x0
0x13130x1221	0	0x13130x1221_0x0
0x13130x1221	1	0x13130x1221_0x1
0x1d6a0x1afe	0	0x1d6a0x1afe_0x0
0x27030x2470	0	0x27030x2470_0x0
0x33c00x47a2	1	0x33c00x47a2_0x1
0x33ef0x47a2	3	0x33ef0x47a2_0x3
0x33fb0x47a2	0	0x33fb0x47a2_0x0
0x33fb0x47a2	1	0x33fb0x47a2_0x1
0x33fb0x47a2	5	0x33fb0x47a2_0x5
0x342c0x47a2	4	0x342c0x47a2_0x4
0x40a00x3fad	0	0x40a00x3fad_0x0
0x40a00x3fad	1	0x40a00x3fad_0x1
0x43660x427c	0	0x43660x427c_0x0
0x49530x47a2	0	0x49530x47a2_0x0
0x49530x47a2	1	0x49530x47a2_0x1
0x4f460x4e5e	0	0x4f460x4e5e_0x0
0x504f0x4f65	0	0x504f0x4f65_0x0
0x51610x506e	0	0x51610x506e_0x0
0x51610x506e	1	0x51610x506e_0x1
